Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.89,3.38,14.36,33.96,45.80,126.43,248.47,203.06,203.83,66.90,26.42,20.19
1902,9.62,6.90,11.40,14.02,57.38,151.45,277.81,259.17,183.90,92.55,40.51,16.40
1903,8.60,7.84,23.14,24.13,67.86,140.42,242.16,211.34,125.96,64.82,9.09,9.11
1904,15.54,15.85,23.71,32.32,48.88,81.33,232.91,211.87,186.62,51.74,10.28,4.82
1905,11.02,31.89,22.55,12.37,35.37,193.75,262.64,251.07,152.43,52.79,18.88,19.47
1906,8.85,29.59,28.59,55.25,32.17,167.91,212.91,275.00,96.48,21.98,23.65,9.61
1907,14.92,15.42,9.02,21.82,43.83,157.49,287.04,309.71,160.58,37.61,5.25,3.70
1908,15.42,10.02,4.48,57.87,51.54,217.40,297.51,224.30,153.82,34.90,9.44,19.13
1909,9.94,9.11,10.54,24.31,39.34,207.68,272.21,274.87,182.58,93.93,39.02,2.68
1910,17.61,3.19,26.87,22.23,49.75,193.24,166.58,213.39,167.50,65.21,38.35,11.24
1911,10.22,15.91,13.97,30.66,41.49,112.48,291.15,251.86,121.50,64.34,51.88,4.51
1912,3.51,28.58,19.88,22.33,65.77,214.13,262.80,207.53,117.80,71.81,14.04,19.99
1913,2.98,15.30,11.96,42.05,55.31,175.62,310.20,227.61,195.66,41.16,23.06,14.76
1914,16.26,26.28,37.66,32.24,57.18,171.79,245.66,223.52,178.37,79.16,41.90,7.67
1915,1.79,12.45,5.28,36.33,50.68,188.24,265.37,291.78,196.79,129.29,43.90,3.35
1916,4.59,27.71,15.47,32.00,72.07,199.61,251.06,271.69,260.46,117.85,31.18,6.53
1917,8.26,3.87,15.77,26.80,63.27,166.19,144.45,223.15,105.42,19.23,41.98,12.04
1918,30.74,11.95,10.58,26.39,55.34,163.56,256.26,282.99,167.71,66.40,52.23,14.03
1919,14.21,11.94,22.22,25.25,49.57,147.99,255.93,159.51,118.81,43.28,25.24,1.44
1920,23.94,3.93,8.60,43.12,26.53,161.61,276.86,243.51,179.12,61.15,19.65,6.53
1921,18.16,6.93,7.32,16.66,42.63,185.81,275.18,198.78,217.90,51.13,54.80,12.29
1922,9.27,29.90,16.58,29.73,38.88,98.43,286.52,250.58,164.80,50.38,12.36,12.66
1923,17.31,11.14,7.12,22.42,47.52,119.49,273.98,255.66,231.46,58.33,42.03,12.33
1924,6.32,4.29,9.87,40.73,72.69,177.23,294.86,225.49,118.72,62.28,44.14,16.75
1925,19.30,4.66,35.80,29.89,52.66,86.12,296.33,304.88,182.47,50.94,12.17,6.62
1926,8.71,21.00,21.15,18.32,43.38,178.30,300.46,218.78,143.63,57.15,53.33,8.12
1927,11.25,24.35,9.79,29.83,43.13,135.85,272.39,197.35,145.57,109.86,20.04,19.27
1928,15.43,12.58,10.51,40.19,48.76,163.48,270.26,208.38,134.84,81.68,20.27,19.88
1929,11.39,12.89,13.17,25.28,53.10,152.59,273.74,170.20,157.26,94.00,42.81,10.86
1930,5.59,16.93,13.45,32.43,43.52,112.25,291.97,258.96,192.78,100.88,44.22,19.79
1931,3.79,13.70,12.88,31.64,60.96,124.16,310.84,215.28,161.45,69.80,49.78,9.77
1932,9.41,15.38,12.11,37.20,83.28,185.47,259.38,327.45,199.01,88.56,21.76,16.72
1933,16.92,7.95,12.73,26.84,47.32,166.33,261.32,284.18,179.98,64.42,33.03,8.63
1934,19.83,13.48,7.99,33.74,24.99,152.27,284.01,242.54,168.93,53.62,14.40,8.11
1935,4.91,27.93,20.07,25.34,68.79,224.89,255.33,210.89,189.20,69.23,54.10,14.40
1936,2.85,35.19,14.61,46.74,50.25,147.85,288.31,182.98,175.23,91.26,19.10,10.06
1937,17.58,14.01,12.13,22.13,59.57,228.88,269.78,251.81,150.80,65.91,14.74,4.37
1938,9.40,14.72,20.20,23.52,35.17,143.83,253.34,231.24,137.94,86.64,32.02,1.77
1939,8.48,19.15,28.95,35.11,63.96,178.19,263.76,276.51,119.52,64.29,39.74,11.68
1940,16.82,11.68,10.95,30.63,56.45,157.99,232.04,208.38,140.19,60.23,22.29,15.81
1941,13.83,26.34,11.07,38.65,46.40,143.71,325.90,291.80,178.47,34.11,11.62,21.19
1942,25.21,7.75,13.03,50.85,62.09,138.18,277.00,210.28,185.18,91.59,19.38,3.59
1943,18.94,26.91,38.91,32.40,36.18,148.36,309.38,284.46,143.21,84.00,27.04,10.04
